File Path,Status,Result
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668807715-20240711096_超限录音-01.wav,Success,"[('Vehicle', 0.20250927), ('Pink noise', 0.1498115), ('Waves, surf', 0.09307717), ('Train', 0.092641436), ('Ocean', 0.07718555)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668827719-20240711097_超限录音-01.wav,Success,"[('Train', 0.35179567), ('Vehicle', 0.27977264), ('Rail transport', 0.27200815), ('Railroad car, train wagon', 0.25371057), ('Subway, metro, underground', 0.20971277)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668847741-20240711098_超限录音-01.wav,Success,"[('Vehicle', 0.30814317), ('Car', 0.12642314), ('Waves, surf', 0.08103976), ('Ocean', 0.0739399), ('Train', 0.06623877)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668867801-20240711099_超限录音-01.wav,Success,"[('Vehicle', 0.36025116), ('Car', 0.16651212), ('Waves, surf', 0.0778961), ('Ocean', 0.0642552), ('Pink noise', 0.063147634)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720669068390-20240711109_超限录音-01.wav,Success,"[('Train', 0.43665522), ('Rail transport', 0.34077597), ('Vehicle', 0.31769252), ('Railroad car, train wagon', 0.3104497), ('Subway, metro, underground', 0.15069483)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668887878-20240711100_超限录音-01.wav,Success,"[('Vehicle', 0.19174421), ('Mechanical fan', 0.078713186), ('Car', 0.06952977), ('Music', 0.068621024), ('Air conditioning', 0.055921994)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720669048333-20240711108_超限录音-01.wav,Success,"[('Train', 0.47996673), ('Rail transport', 0.3959584), ('Railroad car, train wagon', 0.34235534), ('Vehicle', 0.34091473), ('Subway, metro, underground', 0.19264673)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720669028252-20240711107_超限录音-01.wav,Success,"[('Train', 0.31831884), ('Vehicle', 0.3162777), ('Rail transport', 0.24409688), ('Railroad car, train wagon', 0.2035086), ('Subway, metro, underground', 0.07558449)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00350050.WAV,Success,"[('Vehicle', 0.22102691), ('White noise', 0.14924608), ('Ship', 0.07009295), ('Train', 0.04768587), ('Aircraft', 0.045192193)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00380053.WAV,Success,"[('Microwave oven', 0.25807157), ('Vehicle', 0.20300403), ('White noise', 0.13219069), ('Mechanical fan', 0.11883688), ('Air conditioning', 0.09983562)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00370052.WAV,Success,"[('Vehicle', 0.18724267), ('Train', 0.09720173), ('Microwave oven', 0.088216595), ('White noise', 0.08393399), ('Rail transport', 0.06329296)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00360051.WAV,Success,"[('White noise', 0.1955059), ('Vehicle', 0.18174446), ('Ship', 0.05103378), ('Mechanical fan', 0.042589553), ('Rustle', 0.03926125)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00390054.WAV,Success,"[('White noise', 0.15311316), ('Vehicle', 0.14775673), ('Mechanical fan', 0.14008401), ('Microwave oven', 0.08396872), ('Inside, small room', 0.07543432)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00420057.WAV,Success,"[('Vehicle', 0.23063466), ('White noise', 0.2273765), ('Microwave oven', 0.08520631), ('Mechanical fan', 0.052592456), ('Inside, small room', 0.04843639)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00430058.WAV,Success,"[('Vehicle', 0.23794056), ('White noise', 0.19167297), ('Microwave oven', 0.06105833), ('Train', 0.059310336), ('Mechanical fan', 0.056517236)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00410056.WAV,Success,"[('White noise', 0.2288537), ('Vehicle', 0.2264326), ('Microwave oven', 0.107935555), ('Mechanical fan', 0.06332631), ('Air conditioning', 0.05213587)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00400055.WAV,Success,"[('Vehicle', 0.2551093), ('Microwave oven', 0.2381327), ('White noise', 0.15702389), ('Mechanical fan', 0.082820415), ('Air conditioning', 0.06438784)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00440059.WAV,Success,"[('Vehicle', 0.24018799), ('White noise', 0.19787212), ('Microwave oven', 0.06306574), ('Ship', 0.05079246), ('Aircraft', 0.048058666)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00450060.WAV,Success,"[('Vehicle', 0.30187783), ('White noise', 0.16944359), ('Microwave oven', 0.06497658), ('Aircraft', 0.06350393), ('Air conditioning', 0.060602125)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00460061.WAV,Success,"[('Vehicle', 0.24208902), ('White noise', 0.15346153), ('Microwave oven', 0.08703223), ('Air conditioning', 0.08168504), ('Mechanical fan', 0.05993163)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00470062.WAV,Success,"[('Vehicle', 0.2472361), ('White noise', 0.20240854), ('Microwave oven', 0.080873154), ('Mechanical fan', 0.06427073), ('Air conditioning', 0.06293229)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00480063.WAV,Success,"[('Vehicle', 0.21639593), ('White noise', 0.16023572), ('Air conditioning', 0.06563676), ('Mechanical fan', 0.060529877), ('Speech', 0.053080887)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00570087.WAV,Success,"[('Vehicle', 0.2315451), ('Train', 0.09196905), ('Typing', 0.06423542), ('Computer keyboard', 0.06396295), ('Rail transport', 0.055562295)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00550070.WAV,Success,"[('Train', 0.3310504), ('Vehicle', 0.32213318), ('Rail transport', 0.22904009), ('Railroad car, train wagon', 0.20063594), ('Subway, metro, underground', 0.10207577)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00540069.WAV,Success,"[('Vehicle', 0.20720647), ('Microwave oven', 0.12375487), ('White noise', 0.08398276), ('Car', 0.06819553), ('Rumble', 0.041648623)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00510066.WAV,Success,"[('Vehicle', 0.2873992), ('White noise', 0.16071957), ('Train', 0.07239792), ('Microwave oven', 0.069901794), ('Air conditioning', 0.06899632)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00560085.WAV,Success,"[('Vehicle', 0.47863588), ('Speech', 0.22786352), ('Reversing beeps', 0.2182974), ('Train', 0.17371824), ('Rail transport', 0.14002556)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00560084.WAV,Success,"[('Vehicle', 0.43162292), ('Train', 0.41738164), ('Speech', 0.3921292), ('Rail transport', 0.332059), ('Railroad car, train wagon', 0.2676873)]"
